ID,County Name,FIPS,Primary Point,Service Area,Households,Recip22,Recip19,Allotments,Primary County Lat,Primary County Long,Primary County Coordinates,FArate22,FArate19,Pop22,Pop19,RateInc
70,Muscatine,19139,POINT (-91.1127562 41.4839221),Eastern,2228,4507,5223,757861,41.4839221,-91.1127562,POINT (-91.1127562 41.4839221),0.106354862,0.122421714,42377,42664,-0.016066852
71,Obrien,19141,POINT (-95.6248784 43.0837527),Western,373,746,828,118599,43.0837527,-95.6248784,POINT (-95.6248784 43.0837527),0.053058321,0.060205046,14060,13753,-0.007146725
72,Osceola,19143,POINT (-95.6236852 43.3785704),Western,163,327,394,50649,43.3785704,-95.6236852,POINT (-95.6236852 43.3785704),0.05417495,0.066129574,6036,5958,-0.011954624
73,Page,19145,POINT (-95.1501747 40.7391444),Western,659,1359,1720,213211,40.7391444,-95.1501747,POINT (-95.1501747 40.7391444),0.089744436,0.113854505,15143,15107,-0.024110069
74,Palo Alto,19147,POINT (-94.6781371 43.0820643),Western,282,541,622,86934,43.0820643,-94.6781371,POINT (-94.6781371 43.0820643),0.061729804,0.069997749,8764,8886,-0.008267945
75,Plymouth,19149,POINT (-96.2140431 42.7378346),Western,560,1180,1122,185035,42.7378346,-96.2140431,POINT (-96.2140431 42.7378346),0.045948366,0.044564483,25681,25177,0.001383883
76,Pocahontas,19151,POINT (-94.6787466 42.7341351),Northern,285,596,576,96467,42.7341351,-94.6787466,POINT (-94.6787466 42.7341351),0.084503048,0.087022209,7053,6619,-0.002519161
77,Polk,19153,POINT (-93.5735335 41.6855048),Des Moines,24358,49559,58507,8695821,41.6855048,-93.5735335,POINT (-93.5735335 41.6855048),0.09890259,0.119362822,501089,490161,-0.020460232
78,Pottawattamie,19155,POINT (-95.5423935 41.3366123),Western,5602,10697,12735,1831303,41.3366123,-95.5423935,POINT (-95.5423935 41.3366123),0.114807938,0.136632835,93173,93206,-0.021824897
79,Poweshiek,19157,POINT (-92.5314684 41.6864422),Cedar Rapids,571,1092,1147,178054,41.6864422,-92.5314684,POINT (-92.5314684 41.6864422),0.059132507,0.061986597,18467,18504,-0.00285409
80,Ringgold,19159,POINT (-94.2439719 40.7352023),Des Moines,205,400,416,61062,40.7352023,-94.2439719,POINT (-94.2439719 40.7352023),0.085653105,0.085002043,4670,4894,0.000651062
81,Sac,19161,POINT (-95.1053946 42.3862604),Western,247,514,649,84147,42.3862604,-95.1053946,POINT (-95.1053946 42.3862604),0.0531376,0.066762679,9673,9721,-0.013625079
82,Scott,19163,POINT (-90.6232428 41.6370978),Eastern,10300,20404,23740,3672452,41.6370978,-90.6232428,POINT (-90.6232428 41.6370978),0.117315609,0.137270661,173924,172943,-0.019955052
83,Shelby,19165,POINT (-95.3102113 41.6850926),Western,358,754,853,118070,41.6850926,-95.3102113,POINT (-95.3102113 41.6850926),0.064748819,0.0744718,11645,11454,-0.009722981
84,Sioux,19167,POINT (-96.1778827 43.0826174),Western,455,1047,1100,157726,43.0826174,-96.1778827,POINT (-96.1778827 43.0826174),0.029042996,0.031559317,36050,34855,-0.002516321
85,Story,19169,POINT (-93.4650448 42.0362415),Des Moines,2068,4088,4113,709810,42.0362415,-93.4650448,POINT (-93.4650448 42.0362415),0.041014116,0.042350979,99673,97117,-0.001336863
86,Tama,19171,POINT (-92.5325425 42.0798117),Cedar Rapids,584,1320,1395,205728,42.0798117,-92.5325425,POINT (-92.5325425 42.0798117),0.078092646,0.082769669,16903,16854,-0.004677023
87,Taylor,19173,POINT (-94.6964148 40.7374324),Western,239,493,590,75321,40.7374324,-94.6964148,POINT (-94.6964148 40.7374324),0.084158416,0.096389479,5858,6121,-0.012231063
88,Union,19175,POINT (-94.2423792 41.0277304),Des Moines,690,1352,1470,219717,41.0277304,-94.2423792,POINT (-94.2423792 41.0277304),0.113737697,0.120088228,11887,12241,-0.006350531
89,Van Buren,19177,POINT (-91.9499871 40.7532294),Cedar Rapids,281,590,673,91715,40.7532294,-91.9499871,POINT (-91.9499871 40.7532294),0.081312018,0.095542306,7256,7044,-0.014230288
90,Wapello,19179,POINT (-92.4094499 41.0305845),Cedar Rapids,2547,4849,5438,857003,41.0305845,-92.4094499,POINT (-92.4094499 41.0305845),0.138372856,0.155509165,35043,34969,-0.017136309
91,Warren,19181,POINT (-93.5613594 41.3343735),Des Moines,1038,2042,2551,344667,41.3343735,-93.5613594,POINT (-93.5613594 41.3343735),0.037587203,0.049566704,54327,51466,-0.011979501
92,Washington,19183,POINT (-91.7178676 41.335591),Cedar Rapids,686,1369,1691,216142,41.335591,-91.7178676,POINT (-91.7178676 41.335591),0.06065305,0.076986114,22571,21965,-0.016333064
93,Wayne,19185,POINT (-93.3273639 40.7394702),Des Moines,261,521,602,87373,40.7394702,-93.3273639,POINT (-93.3273639 40.7394702),0.080562858,0.093463748,6467,6441,-0.01290089
94,Webster,19187,POINT (-94.1817881 42.4279662),Northern,2190,4238,4887,734517,42.4279662,-94.1817881,POINT (-94.1817881 42.4279662),0.115710151,0.136112968,36626,35904,-0.020402817
95,Winnebago,19189,POINT (-93.7341955 43.3775678),Northern,326,635,757,97644,43.3775678,-93.7341955,POINT (-93.7341955 43.3775678),0.059809739,0.073111841,10617,10354,-0.013302102
96,Winneshiek,19191,POINT (-91.8437074 43.2906746),Northern,350,669,837,105229,43.2906746,-91.8437074,POINT (-91.8437074 43.2906746),0.033493542,0.041868841,19974,19991,-0.008375299
97,Woodbury,19193,POINT (-96.0447673 42.3897169),Western,5539,11842,13728,2043663,42.3897169,-96.0447673,POINT (-96.0447673 42.3897169),0.112064805,0.13314324,105671,103107,-0.021078435
98,Worth,19195,POINT (-93.2608476 43.3773984),Northern,221,483,529,73031,43.3773984,-93.2608476,POINT (-93.2608476 43.3773984),0.065992622,0.071670505,7319,7381,-0.005677883
99,Wright,19197,POINT (-93.7351465 42.7331189),Northern,429,846,1221,137609,42.7331189,-93.7351465,POINT (-93.7351465 42.7331189),0.066713982,0.097197898,12681,12562,-0.030483916
